,latitude,longitude,altitude,geometry,coordinates,timestamp,version,changeset,type,building,addr:street,addr:housename,building:levels,id,addr:city,addr:postcode,addr:housenumber,d_num,name,amenity,club,shop,source,addr:country,office,administrative,training,tourism,cuisine,leisure,healthcare,opening_hours,outdoor_seating,phone,website,studio,layer,resort,fuel:cng,fuel:diesel,fuel:octane_92,fuel:octane_95,building:flats,highway,ref,oneway,surface,lanes,maxspeed,bridge,service,name:ru,living_street,tracktype,junction,footway,tunnel,fixme,ford,railway,traffic_signals,access,barrier,crossing,smoking,internet_access,entrance,bus,public_transport,waterway,foot,horse,bicycle,motor_vehicle
776,,,,"POLYGON ((61.9160175 57.3417102, 61.9160314 57.3416136, 61.916357 57.3416272, 61.9163382 57.3417574, 61.9162497 57.3417536, 61.9162545 57.3417202, 61.9160175 57.3417102))","61.9160175,57.3417102,61.9160314,57.3416136,61.916357,57.3416272,61.9163382,57.3417574,61.9162497,57.3417536,61.9162545,57.3417202,61.9160175,57.3417102",1970-01-01T00:00:01Z,1,1,,house,Строителей,,,way/503378997,Артёмовский,623785.0,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,,,,"POLYGON ((61.9187965 57.3418291, 61.9185224 57.3418176, 61.918539 57.3417024, 61.9186195 57.3417058, 61.9186153 57.3417351, 61.9188088 57.3417432, 61.9187965 57.3418291))","61.9187965,57.3418291,61.9185224,57.3418176,61.918539,57.3417024,61.9186195,57.3417058,61.9186153,57.3417351,61.9188088,57.3417432,61.9187965,57.3418291",1970-01-01T00:00:01Z,1,1,,house,Строителей,,,way/503378998,Артёмовский,623785.0,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,,,,"POLYGON ((61.9183953 57.3417352, 61.9183936 57.3417472, 61.9184142 57.3417481, 61.9184003 57.3418448, 61.9183029 57.3418407, 61.9183073 57.3418103, 61.9181178 57.3418024, 61.9181347 57.341685, 61.918328 57.3416931, 61.9183363 57.3416354, 61.9184337 57.3416395, 61.9184197 57.3417363, 61.9183953 57.3417352))","61.9183953,57.3417352,61.9183936,57.3417472,61.9184142,57.3417481,61.9184003,57.3418448,61.9183029,57.3418407,61.9183073,57.3418103,61.9181178,57.3418024,61.9181347,57.341685,61.918328,57.3416931,61.9183363,57.3416354,61.9184337,57.3416395,61.9184197,57.3417363,61.9183953,57.3417352",1970-01-01T00:00:01Z,1,1,,house,Строителей,,,way/503378999,Артёмовский,623785.0,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,,,,"POLYGON ((61.9187137 57.3406791, 61.9187392 57.3405025, 61.918996 57.3405133, 61.9189705 57.3406899, 61.9187137 57.3406791))","61.9187137,57.3406791,61.9187392,57.3405025,61.918996,57.3405133,61.9189705,57.3406899,61.9187137,57.3406791",1970-01-01T00:00:01Z,1,1,,retail,9 Января,,,way/503379000,Артёмовский,623785.0,10,9,"""Продукты""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,,,,"POLYGON ((61.9178676 57.3411414, 61.917885 57.3410288, 61.9180341 57.3410355, 61.9180167 57.3411481, 61.9178676 57.3411414))","61.9178676,57.3411414,61.917885,57.3410288,61.9180341,57.3410355,61.9180167,57.3411481,61.9178676,57.3411414",1970-01-01T00:00:01Z,1,1,,house,Чапаева,,,way/503379001,Артёмовский,623785.0,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,,,,"POLYGON ((61.9174675 57.3412125, 61.9172819 57.3412049, 61.9173092 57.3410113, 61.9174947 57.3410189, 61.9174675 57.3412125))","61.9174675,57.3412125,61.9172819,57.3412049,61.9173092,57.3410113,61.9174947,57.3410189,61.9174675,57.3412125",1970-01-01T00:00:01Z,1,1,,house,Чапаева,,,way/503379002,Артёмовский,623785.0,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,,,,"POLYGON ((61.9170087 57.3411141, 61.9168792 57.3411088, 61.9168934 57.3410085, 61.9170229 57.3410138, 61.9170087 57.3411141))","61.9170087,57.3411141,61.9168792,57.3411088,61.9168934,57.3410085,61.9170229,57.3410138,61.9170087,57.3411141",1970-01-01T00:00:01Z,1,1,,house,Чапаева,,,way/503379003,Артёмовский,623785.0,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,,,,"POLYGON ((61.9161933 57.3410706, 61.9160692 57.3410656, 61.9160834 57.340965, 61.9162075 57.3409701, 61.9161933 57.3410706))","61.9161933,57.3410706,61.9160692,57.3410656,61.9160834,57.340965,61.9162075,57.3409701,61.9161933,57.3410706",1970-01-01T00:00:01Z,1,1,,house,Чапаева,,,way/503379004,Артёмовский,623785.0,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,,,,"POLYGON ((61.916483 57.3410895, 61.91625 57.3410799, 61.9162658 57.3409679, 61.9164988 57.3409775, 61.916483 57.3410895))","61.916483,57.3410895,61.91625,57.3410799,61.9162658,57.3409679,61.9164988,57.3409775,61.916483,57.3410895",1970-01-01T00:00:01Z,1,1,,house,Чапаева,,,way/503379006,Артёмовский,623785.0,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,,,,"POLYGON ((61.918026 57.3402306, 61.9180241 57.3402437, 61.9179329 57.3402399, 61.9179476 57.3401356, 61.9180263 57.3401388, 61.9180344 57.3400818, 61.9182322 57.34009, 61.91821 57.3402471, 61.9180926 57.3402423, 61.9180939 57.3402334, 61.918026 57.3402306))","61.918026,57.3402306,61.9180241,57.3402437,61.9179329,57.3402399,61.9179476,57.3401356,61.9180263,57.3401388,61.9180344,57.3400818,61.9182322,57.34009,61.91821,57.3402471,61.9180926,57.3402423,61.9180939,57.3402334,61.918026,57.3402306",1970-01-01T00:00:01Z,1,1,,house,Чкалова,,,way/503379007,Артёмовский,623785.0,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
